,NN,NP,Date
0,16.0,37.0,2012-10
1,12.0,41.0,2012-11
2,12.0,38.0,2012-12
3,0.0,0.0,2012-4
4,0.0,0.0,2012-5
5,0.0,0.0,2012-6
6,0.0,9.0,2012-7
7,2.0,20.0,2012-8
8,4.0,13.0,2012-9
9,12.0,45.0,2013-1
10,3.0,33.0,2013-10
11,2.0,31.0,2013-11
12,0.0,22.0,2013-12
13,5.0,21.0,2013-2
14,7.0,25.0,2013-3
15,6.0,36.0,2013-4
16,1.0,26.0,2013-5
17,1.0,20.0,2013-6
18,4.0,31.0,2013-7
19,2.0,34.0,2013-8
20,0.0,33.0,2013-9
21,3.0,32.0,2014-1
22,5.0,83.0,2014-10
23,6.0,52.0,2014-11
24,11.0,64.0,2014-12
25,1.0,26.0,2014-2
26,1.0,19.0,2014-3
27,8.0,44.0,2014-4
28,3.0,29.0,2014-5
29,2.0,35.0,2014-6
30,9.0,57.0,2014-7
31,4.0,27.0,2014-8
32,14.0,87.0,2014-9
33,13.0,79.0,2015-1
34,13.0,109.0,2015-10
35,12.0,65.0,2015-11
36,14.0,57.0,2015-12
37,13.0,74.0,2015-2
38,25.0,129.0,2015-3
39,15.0,116.0,2015-4
40,17.0,77.0,2015-5
41,13.0,76.0,2015-6
42,25.0,101.0,2015-7
43,36.0,90.0,2015-8
44,25.0,93.0,2015-9
45,34.0,95.0,2016-1
46,24.0,186.0,2016-10
47,8.0,146.0,2016-11
48,13.0,97.0,2016-12
49,19.0,81.0,2016-2
50,23.0,83.0,2016-3
51,39.0,119.0,2016-4
52,30.0,190.0,2016-5
53,8.0,157.0,2016-6
54,10.0,168.0,2016-7
55,22.0,152.0,2016-8
56,32.0,210.0,2016-9
57,13.0,83.0,2017-1
58,36.0,330.0,2017-10
59,30.0,409.0,2017-11
60,36.0,354.0,2017-12
61,9.0,72.0,2017-2
62,16.0,75.0,2017-3
63,13.0,311.0,2017-4
64,32.0,467.0,2017-5
65,38.0,416.0,2017-6
66,38.0,583.0,2017-7
67,35.0,423.0,2017-8
68,49.0,725.0,2017-9
69,34.0,319.0,2018-1
70,42.0,153.0,2018-10
71,73.0,369.0,2018-11
72,58.0,250.0,2018-12
73,22.0,422.0,2018-2
74,46.0,227.0,2018-3
75,38.0,326.0,2018-4
76,26.0,453.0,2018-5
77,37.0,281.0,2018-6
78,21.0,113.0,2018-7
79,45.0,171.0,2018-8
80,36.0,115.0,2018-9
81,110.0,794.0,2019-1
82,28.0,307.0,2019-10
83,28.0,345.0,2019-11
84,19.0,365.0,2019-12
85,13.0,152.0,2019-2
86,28.0,161.0,2019-3
87,17.0,207.0,2019-4
88,48.0,196.0,2019-5
89,32.0,356.0,2019-6
90,41.0,550.0,2019-7
91,42.0,310.0,2019-8
92,33.0,249.0,2019-9
93,39.0,377.0,2020-1
94,0.0,0.0,2020-2
95,0.0,0.0,2020-3
